timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1602092586.666,-31.738,-31.738,-23.438,-11.719,0.000,0
1602092586.670,-23.926,-27.344,-22.949,-19.531,0.000,0
1602092586.674,-12.695,-25.391,-21.973,-22.949,0.000,0
1602092586.678,-15.625,-28.320,-22.949,-30.273,0.000,0
1602092586.682,-22.949,-28.809,-24.902,-16.113,0.000,0
1602092586.686,-6.348,-28.320,-22.461,-14.160,0.000,0
1602092586.690,1.465,-28.809,-23.438,-23.926,0.000,0
1602092586.694,-22.461,-26.855,-20.508,-25.879,0.000,0
1602092586.698,-30.762,-23.926,-16.602,-26.367,0.000,0
1602092586.702,-32.227,-27.344,-19.531,-20.020,0.000,0
1602092586.705,-21.973,-23.926,-23.438,-15.137,0.000,0
1602092586.709,-9.766,-21.484,-20.020,-19.531,0.000,0
1602092586.713,-13.184,-24.414,-15.625,-21.484,0.000,0
1602092586.717,-10.254,-21.973,-16.602,-20.996,0.000,0
1602092586.721,-11.230,-20.508,-17.578,-20.508,0.000,0
1602092586.725,-9.766,-21.973,-15.625,-16.113,0.000,0
1602092586.729,5.371,-20.996,-17.578,-13.672,0.000,0
1602092586.733,-10.742,-18.555,-12.207,-17.578,0.000,0
1602092586.737,-29.297,-24.902,-10.254,-19.531,0.000,0
1602092586.741,-19.043,-26.855,-15.137,-14.648,0.000,0
1602092586.745,-2.930,-28.320,-16.113,-9.766,0.000,0
1602092586.748,-13.184,-30.762,-17.578,-12.207,0.000,0
1602092586.752,-26.855,-30.762,-19.531,-19.043,0.000,0
1602092586.756,-18.555,-29.785,-20.508,-22.461,0.000,0
1602092586.760,-21.973,-28.809,-20.508,-19.531,0.000,0
1602092586.764,-25.391,-27.344,-18.066,-14.648,0.000,0
1602092586.768,-12.695,-27.344,-20.996,-19.531,0.000,0
1602092586.772,-13.184,-33.691,-31.250,-22.461,0.000,0
1602092586.776,-19.531,-37.109,-31.738,-27.344,0.000,0
1602092586.780,-23.438,-32.227,-30.273,-29.785,0.000,0
1602092586.784,-30.273,-33.691,-35.156,-23.438,0.000,0
1602092586.788,-31.738,-30.762,-34.180,-19.531,0.000,0
1602092586.791,-33.203,-28.320,-30.762,-26.367,0.000,0
1602092586.795,-36.621,-33.691,-24.902,-31.738,0.000,0
1602092586.799,-34.180,-30.762,-25.879,-24.902,0.000,0
1602092586.803,-26.367,-27.344,-29.785,-17.090,0.000,0
1602092586.807,-17.578,-27.344,-29.785,-22.461,0.000,0
1602092586.811,-9.277,-28.320,-26.367,-25.391,0.000,0
1602092586.815,-26.855,-27.344,-22.949,-17.578,0.000,0
1602092586.819,-39.062,-21.973,-20.996,-9.766,0.000,0
1602092586.823,-26.367,-20.020,-20.996,-20.020,0.000,0
1602092586.827,-23.926,-29.297,-27.344,-31.250,0.000,0
1602092586.830,-22.949,-32.227,-25.879,-35.156,0.000,0
1602092586.834,-32.715,-28.809,-22.461,-41.992,0.000,0
1602092586.838,-35.645,-28.320,-26.855,-43.945,0.000,0
1602092586.842,-33.203,-26.367,-23.926,-31.250,0.000,0
1602092586.846,-27.344,-23.926,-22.949,-22.949,0.000,0
1602092586.850,-18.066,-28.320,-28.809,-22.949,0.000,0
1602092586.854,-11.719,-30.273,-35.645,-23.438,0.000,0
1602092586.858,-15.625,-30.762,-33.203,-27.832,0.000,0
1602092586.862,-24.414,-32.227,-28.809,-29.297,0.000,0
1602092586.866,-9.277,-31.738,-27.832,-21.484,0.000,0
1602092586.870,-6.836,-31.250,-21.973,-23.926,0.000,0
1602092586.873,-24.414,-30.762,-19.531,-33.203,0.000,0
1602092586.877,-39.062,-30.762,-24.414,-29.785,0.000,0
1602092586.881,-40.527,-27.344,-25.879,-22.949,0.000,0
1602092586.885,-29.785,-25.391,-25.391,-24.414,0.000,0
1602092586.889,-17.090,-28.320,-27.832,-37.109,0.000,0
1602092586.893,-10.742,-27.832,-27.344,-40.039,0.000,0
1602092586.897,-23.438,-21.973,-20.508,-39.062,0.000,0
1602092586.901,-39.062,-25.391,-20.996,-39.551,0.000,0
1602092586.905,-25.879,-25.391,-24.414,-26.855,0.000,0
1602092586.909,-13.184,-20.508,-22.949,-21.973,0.000,0
1602092586.913,-11.719,-21.973,-20.020,-28.320,0.000,0
1602092586.916,-13.184,-24.414,-19.531,-29.785,0.000,0
1602092586.920,-24.414,-26.855,-19.531,-25.879,0.000,0
1602092586.924,-28.809,-29.297,-18.555,-20.508,0.000,0
1602092586.928,-20.508,-32.227,-16.113,-26.367,0.000,0
1602092586.932,-14.648,-27.832,-13.184,-26.855,0.000,0
1602092586.936,-26.367,-26.367,-11.230,-32.227,0.000,0
1602092586.940,-19.043,-26.855,-11.719,-29.785,0.000,0
1602092586.944,-15.137,-22.949,-14.160,-17.578,0.000,0
1602092586.948,-28.320,-26.367,-15.137,-27.832,0.000,0
1602092586.952,-30.762,-30.273,-12.207,-31.250,0.000,0
1602092586.955,-49.316,-27.344,-8.789,-35.645,0.000,0
1602092586.959,-59.082,-29.297,-13.672,-40.527,0.000,0
1602092586.963,-42.480,-31.250,-20.508,-25.879,0.000,0
1602092586.967,-34.668,-26.855,-19.043,-20.996,0.000,0
1602092586.971,-34.668,-21.973,-18.555,-24.902,0.000,0
1602092586.975,-35.156,-22.949,-19.531,-30.762,0.000,0
1602092586.979,-41.992,-26.367,-18.066,-36.621,0.000,0
1602092586.983,-33.691,-25.391,-18.066,-25.391,0.000,0
1602092586.987,-15.137,-21.484,-18.555,-23.926,0.000,0
1602092586.991,-14.648,-23.438,-21.973,-33.203,0.000,0
1602092586.995,-30.273,-24.902,-23.926,-32.715,0.000,0
1602092586.998,-52.246,-24.902,-26.367,-18.066,0.000,0
1602092587.002,-43.945,-23.438,-26.367,-18.066,0.000,0
1602092587.006,-31.738,-27.832,-23.438,-25.879,0.000,0
1602092587.010,-25.879,-29.785,-23.438,-30.273,0.000,0
